Tipus d'error,Interferència del castellà,Masked,Resposta normativa,Resposta no normativa freqüent,Prediccions,Model,Normatives top 1,Normatives top 5,No normatives top 1,No normatives top 5,Altres
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'a', 'en', 'aprofitant', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['de', 'a', 'om', 'totes', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['de', 'a', 'al', 'del', 'peix']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['de', 'a', 'en', 'sobre', 'que']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'per', 'contra', 'de', 'envers']",projecte-aina/roberta-base-ca-v2,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'sobre', 'per', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['en', 'a', 'per', 'de', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'amb', 'que', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['a', 'en', 'amb', 'de', 'per']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['amb', 'de', 'en', 'a', 'i']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['a', 'en', 'de', 'per', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['per', 'en', 'a', 'i', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['a', 'en', 'per', 'com', 'a']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,Ens complaem <mask> acceptar la vostra col·laboració.,a,en,"['en', 'a', 'per', 'amb', 'molt']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,"Engrescat <mask> fundar la coral, tot el temps que hi dedica li sembla poc.",a,en,"['a', 'en', 'per', 'de', 'amb']",projecte-aina/roberta-base-ca-v2,,,,,
alt_prep,Sí,"Estava tan capficat <mask> completar la jugada, que no es va adonar que el temps s'havia acabat. ",a,en,"['a', 'en', 'per', 'de', 'intentant']",projecte-aina/roberta-base-ca-v2,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va cantar.,al,a,"['al', 'als', 'el', 'a', 'pel']",facebook/xmod-base,22,49,21,46,1
caiguda_prep,Sí,Parlo <mask> que va sortir l’altre dia al diari,del,de,"['del', 'el', 'allò', 'de', 'dels']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Depèn <mask> que decideixin els experts.,del,de,"['del', 'el', 'de', 'dels', 'allò']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que li vaig explicar.,del,de,"['del', 'el', 'allò', 'res', 'lo']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No m’havia adonat <mask> que estava equivocat.,del,de,"['de', 'encara', 'del', 'abans', 'mai']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va fer una nova pel·lícula.,al,a,"['al', 'a', 'als', 'dient', 'el']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Parlo <mask> que moure la caixa de lloc. ,del,de,"['de', 'més', 'del', 'també', 'per']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Depèn <mask> que vulgin fer.,del,de,"['del', 'el', 'de', 'allò', 'dels']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que va veure aquell dia.,del,de,"['el', 'del', 'res', 'allò', 'al']",facebook/xmod-base,,,,,
caiguda_prep,Sí,No m'havia adonat <mask> que estava mal col·locat.,del,de,"['de', 'encara', 'del', 'abans', 'fins']",facebook/xmod-base,,,,,
en_relacio_a,No,"No tinc informació actualitzada en relació <mask> la teva sol·licitud, però ho consultaré.",amb,a,"['a', 'amb', 'de', 'à', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,No hi ha hagut avenços en relació <mask> aquest assumpte.,amb,a,"['amb', 'a', 'en', 'al', 'sobre']",facebook/xmod-base,,,,,
en_relacio_a,No,No sé res nou en relació <mask> l’examen.,amb,a,"['amb', 'a', 'de', 'al', 'à']",facebook/xmod-base,,,,,
en_relacio_a,No,No he rebut cap avís en relació <mask> la reunió de demà.,amb,a,"['a', 'amb', 'de', 'à', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,Encara no hi ha cap decisió presa en relació <mask> el pressupost.,amb,a,"['amb', 'sobre', 'a', 'en', 'al']",facebook/xmod-base,,,,,
en_relacio_a,No,Vull fer-te una pregunta <mask> relació a la proposta que has enviat.,amb,en,"['en', 'amb', 'de', 'En', 'sense']",facebook/xmod-base,,,,,
en_relacio_a,No,Vull parlar <mask> relació a aquest tema.,amb,en,"['en', 'amb', 'sense', 'alguna', 'de']",facebook/xmod-base,,,,,
en_relacio_a,No,"No hi ha notícies <mask> relació al vostre problema, em sap greu. ",amb,en,"['en', 'amb', 'de', 'con', 'sense']",facebook/xmod-base,,,,,
en_relacio_a,No,No tenim cap novetat <mask> relació a aquest projecte.,amb,en,"['en', 'amb', 'de', 'En', 'cap']",facebook/xmod-base,,,,,
en_relacio_a,No,No s’ha pres cap mesura <mask> relació a el problema de seguretat.,amb,en,"['en', 'amb', 'de', 'sense', 'especial']",facebook/xmod-base,,,,,
a_od,Sí,Això afecta <mask> trànsit aeri.,el,al,"['el', 'al', 'a', 'tot', 'un']",facebook/xmod-base,,,,,
a_od,Sí,He vist <mask> cotxe nou.,el,al,"['un', 'el', 'aquest', 'algun', 'aquell']",facebook/xmod-base,,,,,
a_od,Sí,L’entrenador felicitarà <mask> jugadors després del partit.,els,als,"['els', 'als', 'a', 'pels', 'el']",facebook/xmod-base,,,,,
a_od,Sí,L’empresa vol formar <mask> seus treballadors.,els,als,"['els', 'als', 'dels', 'el', 'al']",facebook/xmod-base,,,,,
a_od,Sí,Estic esperant <mask> professor per resoldre un dubte.,el,al,"['un', 'al', 'el', 'algun', 'aquest']",facebook/xmod-base,,,,,
a_od,Sí,Han acomiadat <mask> empleats més antics de l’empresa.,el,al,"['els', 'als', 'dos', 'quatre', 'cinc']",facebook/xmod-base,,,,,
a_od,Sí,Sempre ajuda <mask> seus companys quan ho necessiten.,els,als,"['als', 'els', 'al', 'dels', 'pels']",facebook/xmod-base,,,,,
a_od,Sí,El professor ha avisat <mask> alumnes sobre el canvi d’horari.,els,als,"['als', 'els', 'les', 'dels', 'al']",facebook/xmod-base,,,,,
a_od,Sí,El jutge ha interrogat <mask> testimonis del cas.,els,als,"['els', 'dos', 'als', 'diversos', 'cinc']",facebook/xmod-base,,,,,
a_od,Sí,Han seleccionat <mask> millors candidats per al lloc de feina.,els,als,"['els', 'als', 'les', 'cinc', '10']",facebook/xmod-base,,,,,
com_reg,Sí,Al restaurant fa molta olor <mask> fregit.,de,a,"['de', 'al', 'a', 'del', 'el']",facebook/xmod-base,,,,,
com_reg,Sí,Tinc por <mask> les aranyes.,de,a,"['a', 'per', 'de', 'amb', 'davant']",facebook/xmod-base,,,,,
com_reg,Sí,El meu horari és diferent <mask> teu.,del,al,"['al', 'del', 'dels', 'als', 'el']",facebook/xmod-base,,,,,
com_reg,Sí,La solució <mask> problema és molt senzilla.,del,al,"['del', 'al', 'de', 'aquest', 'pel']",facebook/xmod-base,,,,,
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'a', 'davant', 'en', 'sobre']",facebook/xmod-base,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['de', 'a', 'totes', 'amb', 'en']",facebook/xmod-base,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['del', 'de', 'al', 'a', 'un']",facebook/xmod-base,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['a', 'de', 'en', 'sobre', 'à']",facebook/xmod-base,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'contra', 'de', 'davant', 'sobre']",facebook/xmod-base,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'sobre', 'per', 'en']",facebook/xmod-base,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['en', 'per', 'a', 'de', 'i']",facebook/xmod-base,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'que', 'al', 'per']",facebook/xmod-base,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['en', 'a', 'per', 'amb', 'i']",facebook/xmod-base,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['de', 'amb', 'per', 'en', 'fent']",facebook/xmod-base,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['a', 'en', 'de', 'per', 'no']",facebook/xmod-base,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['per', 'en', 'a', 'i', 'perquè']",facebook/xmod-base,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['en', 'a', 'per', 'sobre', 'al']",facebook/xmod-base,,,,,
alt_prep,Sí,Ens complaem <mask> acceptar la vostra col·laboració.,a,en,"['per', 'en', 'amb', 'molt', 'a']",facebook/xmod-base,,,,,
alt_prep,Sí,"Engrescat <mask> fundar la coral, tot el temps que hi dedica li sembla poc.",a,en,"['a', 'en', 'per', 'de', 'vol']",facebook/xmod-base,,,,,
alt_prep,Sí,"Estava tan capficat <mask> completar la jugada, que no es va adonar que el temps s'havia acabat. ",a,en,"['en', 'per', 'a', 'de', 'al']",facebook/xmod-base,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va cantar.,al,a,"['al', 'a', 'als', 'el', 'pel']",Twitter/twhin-bert-large,15,47,26,46,1
caiguda_prep,Sí,Parlo <mask> que va sortir l’altre dia al diari,del,de,"['del', 'el', 'pel', 'de', 'lo']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,Depèn <mask> que decideixin els experts.,del,de,"['de', 'del', 'dels', 'lo', 'el']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,No es recorda <mask> que li vaig explicar.,del,de,"['el', 'lo', 'allò', 'res', 'del']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,No m’havia adonat <mask> que estava equivocat.,del,de,"['mai', 'de', 'encara', 'ni', 'tant']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va fer una nova pel·lícula.,al,a,"['al', 'als', 'a', 'pel', 'algú']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,Parlo <mask> que moure la caixa de lloc. ,del,de,"['abans', 'més', 'millor', 'menys', 'del']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,Depèn <mask> que vulgin fer.,del,de,"['del', 'dels', 'de', 'lo', 'el']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,No es recorda <mask> que va veure aquell dia.,del,de,"['el', 'lo', 'allò', 'res', 'del']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,No m'havia adonat <mask> que estava mal col·locat.,del,de,"['de', 'mai', 'encara', 'ni', 'tant']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,"No tinc informació actualitzada en relació <mask> la teva sol·licitud, però ho consultaré.",amb,a,"['a', 'amb', 'à', 'en', 'al']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,No hi ha hagut avenços en relació <mask> aquest assumpte.,amb,a,"['a', 'amb', 'en', 'tot', 'ad']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,No sé res nou en relació <mask> l’examen.,amb,a,"['a', 'amb', 'al', 'à', 'de']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,No he rebut cap avís en relació <mask> la reunió de demà.,amb,a,"['a', 'amb', 'à', 'de', 'en']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,Encara no hi ha cap decisió presa en relació <mask> el pressupost.,amb,a,"['amb', 'en', 'a', 'tot', 'con']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,Vull fer-te una pregunta <mask> relació a la proposta que has enviat.,amb,en,"['en', 'amb', 'in', 'En', 'con']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,Vull parlar <mask> relació a aquest tema.,amb,en,"['en', 'amb', 'de', 'a', 'in']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,"No hi ha notícies <mask> relació al vostre problema, em sap greu. ",amb,en,"['en', 'amb', 'in', 'con', 'de']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,No tenim cap novetat <mask> relació a aquest projecte.,amb,en,"['en', 'amb', 'in', 'a', 'de']",Twitter/twhin-bert-large,,,,,
en_relacio_a,No,No s’ha pres cap mesura <mask> relació a el problema de seguretat.,amb,en,"['en', 'amb', 'in', 'con', 'de']",Twitter/twhin-bert-large,,,,,
a_od,Sí,Això afecta <mask> trànsit aeri.,el,al,"['el', 'al', 'molt', 'a', 'pel']",Twitter/twhin-bert-large,,,,,
a_od,Sí,He vist <mask> cotxe nou.,el,al,"['un', 'el', '1', 'mig', 'al']",Twitter/twhin-bert-large,,,,,
a_od,Sí,L’entrenador felicitarà <mask> jugadors després del partit.,els,als,"['els', 'als', 'alguns', 'les', 'a']",Twitter/twhin-bert-large,,,,,
a_od,Sí,L’empresa vol formar <mask> seus treballadors.,els,als,"['els', 'als', 'pels', 'dels', 'les']",Twitter/twhin-bert-large,,,,,
a_od,Sí,Estic esperant <mask> professor per resoldre un dubte.,el,al,"['al', 'el', 'un', 'pel', 'a']",Twitter/twhin-bert-large,,,,,
a_od,Sí,Han acomiadat <mask> empleats més antics de l’empresa.,el,al,"['els', 'als', 'les', 'uns', 'pels']",Twitter/twhin-bert-large,,,,,
a_od,Sí,Sempre ajuda <mask> seus companys quan ho necessiten.,els,als,"['als', 'els', 'dels', 'a', 'al']",Twitter/twhin-bert-large,,,,,
a_od,Sí,El professor ha avisat <mask> alumnes sobre el canvi d’horari.,els,als,"['als', 'els', 'les', 'pels', 'dels']",Twitter/twhin-bert-large,,,,,
a_od,Sí,El jutge ha interrogat <mask> testimonis del cas.,els,als,"['els', 'als', 'a', 'alguns', 'diversos']",Twitter/twhin-bert-large,,,,,
a_od,Sí,Han seleccionat <mask> millors candidats per al lloc de feina.,els,als,"['els', 'als', 'les', 'el', 'pels']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Al restaurant fa molta olor <mask> fregit.,de,a,"['a', 'de', 'al', 'del', 'd']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Tinc por <mask> les aranyes.,de,a,"['de', 'a', 'amb', 'per', 'contra']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,El meu horari és diferent <mask> teu.,del,al,"['al', 'del', 'el', 'pel', 'dl']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,La solució <mask> problema és molt senzilla.,del,al,"['al', 'del', 'als', 'pel', 'a']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,La noia va aprofitar per treure profit <mask> la situació i va guanyar molts diners.,de,a,"['de', 'a', 'd', 'en', 'amb']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Va fer cas <mask> les recomanacions del metge.,de,a,"['a', 'de', 'per', 'en', 'd']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Sento una forta pudor <mask> cremat a la cuina.,de,a,"['de', 'del', 'a', ',', 'al']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,L’article fa esment <mask> diverses investigacions recents.,de,a,"['a', 'ar', 'en', 'de', 'amb']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Va mostrar un clar rebuig <mask> la proposta.,de,a,"['a', 'de', 'per', 'amb', 'en']",Twitter/twhin-bert-large,,,,,
com_reg,Sí,Hauries de fer un bon repàs <mask> la matèria abans de l’examen.,de,a,"['de', 'a', 'en', 'sobre', 'per']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,Tenim molt d'interès <mask> complir els nostres compromisos.,a,en,"['en', 'a', 'per', 'de', 'al']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,La idea consisteix <mask> analitzar els models.,a,en,"['en', 'a', 'al', ':', 'amb']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,La majoria d'estudiants es van mostrar d'acord <mask> fer una pausa.,a,en,"['per', 'en', 'a', 'al', 'i']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,La van amenaçar <mask> despatxar-la.,de,amb,"['de', 'per', 'a', 'amb', 'com']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,Insisteixen <mask> tornar cap a casa.,a,en,"['en', 'a', 'no', 'per', 'al']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,Va mostrar interès <mask> aprendre nous mètodes per fer aquests exercicis.,a,en,"['en', 'per', 'a', 'i', 'x']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,L'exercici es basa <mask> explicar les circumstàncies del conflicte.,a,en,"['en', 'a', 'per', 'on', 'sobre']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,Ens complaem <mask> acceptar la vostra col·laboració.,a,en,"['per', 'en', 'de', 'a', 'no']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,"Engrescat <mask> fundar la coral, tot el temps que hi dedica li sembla poc.",a,en,"['per', 'a', 'va', 'de', 'en']",Twitter/twhin-bert-large,,,,,
alt_prep,Sí,"Estava tan capficat <mask> completar la jugada, que no es va adonar que el temps s'havia acabat. ",a,en,"['en', 'a', 'de', 'per', 'al']",Twitter/twhin-bert-large,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va cantar.,al,a,"['al', 'a', 'als', 'del', 'el']",facebook/xlm-v-base,20,45,19,45,2
caiguda_prep,Sí,Parlo <mask> que va sortir l’altre dia al diari,del,de,"['del', 'el', 'de', 'pel', 'dels']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,Depèn <mask> que decideixin els experts.,del,de,"['de', 'del', 'el', 'dels', 'a']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que li vaig explicar.,del,de,"['lo', 'el', 'res', 'del', 'ble']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,No m’havia adonat <mask> que estava equivocat.,del,de,"['mai', 'de', 'encara', 'abans', ',']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,Em refereixo <mask> que va fer una nova pel·lícula.,al,a,"['a', 'al', 'als', ',', 'de']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,Parlo <mask> que moure la caixa de lloc. ,del,de,"['abans', ',', 'dient', 'del', 'de']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,Depèn <mask> que vulgin fer.,del,de,"[',', 'id', 'est', 'de', 'ut']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,No es recorda <mask> que va veure aquell dia.,del,de,"['el', 'res', 'allò', 'gens', 'lo']",facebook/xlm-v-base,,,,,
caiguda_prep,Sí,No m'havia adonat <mask> que estava mal col·locat.,del,de,"['de', ',', 'encara', 'mai', 'abans']",facebook/xlm-v-base,,,,,
en_relacio_a,No,"No tinc informació actualitzada en relació <mask> la teva sol·licitud, però ho consultaré.",amb,a,"['amb', 'a', 'de', 'al', 'per']",facebook/xlm-v-base,,,,,
en_relacio_a,No,No hi ha hagut avenços en relació <mask> aquest assumpte.,amb,a,"['amb', 'a', 'en', 'tot', 'vers']",facebook/xlm-v-base,,,,,
en_relacio_a,No,No sé res nou en relació <mask> l’examen.,amb,a,"['a', 'amb', 'de', 'al', 'vers']",facebook/xlm-v-base,,,,,
en_relacio_a,No,No he rebut cap avís en relació <mask> la reunió de demà.,amb,a,"['a', 'amb', 'de', 'al', 'per']",facebook/xlm-v-base,,,,,
en_relacio_a,No,Encara no hi ha cap decisió presa en relació <mask> el pressupost.,amb,a,"['amb', 'tot', 'en', 'sobre', 'a']",facebook/xlm-v-base,,,,,
en_relacio_a,No,Vull fer-te una pregunta <mask> relació a la proposta que has enviat.,amb,en,"['en', 'amb', 'tenint', 'con', 'En']",facebook/xlm-v-base,,,,,
en_relacio_a,No,Vull parlar <mask> relació a aquest tema.,amb,en,"['en', 'amb', 'tenint', 'té', 'de']",facebook/xlm-v-base,,,,,
en_relacio_a,No,"No hi ha notícies <mask> relació al vostre problema, em sap greu. ",amb,en,"['en', 'amb', 'con', 'de', 'in']",facebook/xlm-v-base,,,,,
en_relacio_a,No,No tenim cap novetat <mask> relació a aquest projecte.,amb,en,"['en', 'amb', 'tenint', 'con', 'in']",facebook/xlm-v-base,,,,,
en_relacio_a,No,No s’ha pres cap mesura <mask> relació a el problema de seguretat.,amb,en,"['en', 'amb', 'tenint', 'con', 'in']",facebook/xlm-v-base,,,,,
a_od,Sí,Això afecta <mask> trànsit aeri.,el,al,"['al', 'el', 'a', 'també', 'molt']",facebook/xlm-v-base,,,,,
a_od,Sí,He vist <mask> cotxe nou.,el,al,"['un', 'el', 'aquest', 'algun', 'una']",facebook/xlm-v-base,,,,,
