Tipus,Subjecte,Objecte directe,Prediccions,Model,Prediccions subjecte,Prediccions objecte directe
canvi d'ordre neutre amb pronom,Mar,Gal·la,Mar,facebook/xlm-v-base,,
sense pronom explícit,Laura,Maria,Maria,facebook/xlm-v-base,,
amb pronom explícit,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Laura,Maria,Maria,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Laura,Maria,Laura,facebook/xlm-v-base,,
sense pronom explícit,David,Roger,Roger,facebook/xlm-v-base,,
amb pronom explícit,David,Roger,Roger,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,David,Roger,Roger,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,David,Roger,Roger,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,David,Roger,David,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,David,Roger,David,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,David,Roger,Roger,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,David,Roger,Roger,facebook/xlm-v-base,,
sense pronom explícit,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
amb pronom explícit,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Jaume,Ramon,Jaume,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Jaume,Ramon,Jaume,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Jaume,Ramon,Ramon,facebook/xlm-v-base,,
sense pronom explícit,Anna,Alba,Alba,facebook/xlm-v-base,,
amb pronom explícit,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Anna,Alba,Alba,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Anna,Alba,Anna,facebook/xlm-v-base,,
sense pronom explícit,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
amb pronom explícit,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada de subjecte sense pronom,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada de subjecte amb pronom,Mariona,Isabel,Isabel,facebook/xlm-v-base,,
clivellada d'objecte sense pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
clivellada d'objecte amb pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
canvi d'ordre neutre sense pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
canvi d'ordre neutre amb pronom,Mariona,Isabel,Mariona,facebook/xlm-v-base,,
